state,highlight
Alabama,0
Alaska,0
Arkansas,0
Arizona,0
California,0
Colorado,0
Connecticut,1
Delaware,1
Florida,1
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,1
Maryland,1
Massachusetts,1
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,1
North Dakota,0
Nebraska,0
New Hampshire,1
New Jersey,1
New Mexico,0
Nevada,0
New York,1
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,1
Rhode Island,1
South Carolina,1
South Dakota,0
Tennessee,0
Texas,1
Utah,0
Virginia,1
Vermont,1
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0
